Factor	Tag	Preferred_NonPref	peakLocation	Final.HA.Annotation	Lambert2018.TF.NotTF	Notes	go_anno	orthologous_group
H3K9ac		Preferred	https://www.encodeproject.org/files/ENCFF219XNL/@@download/ENCFF219XNL.bed.gz	Histone Mark			"histone,narrow histone mark"	
H3K9me3		Preferred	https://www.encodeproject.org/files/ENCFF745LNA/@@download/ENCFF745LNA.bed.gz	Histone Mark			"histone,broad histone mark"	
H4K20me1		Preferred	https://www.encodeproject.org/files/ENCFF942YUJ/@@download/ENCFF942YUJ.bed.gz	Histone Mark			"histone,broad histone mark"	
HBP1	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF113RAY/@@download/ENCFF113RAY.bed.gz	TF	Yes		"RNA binding protein,transcription factor"	COG2133
HCFC1		Preferred	https://www.encodeproject.org/files/ENCFF391KIU/@@download/ENCFF391KIU.bed.gz	Other	No		transcription factor	COG4733
HDAC1	FLAG	Non-preferred	https://www.encodeproject.org/files/ENCFF339XCW/@@download/ENCFF339XCW.bed.gz	Other	No		"transcription factor,chromatin remodeller,RNA binding protein"	COG0123
HDAC1		Preferred	https://www.encodeproject.org/files/ENCFF720MUU/@@download/ENCFF720MUU.bed.gz	Other	No		"transcription factor,chromatin remodeller,RNA binding protein"	COG0123
HDAC2		Non-preferred	https://www.encodeproject.org/files/ENCFF491JNC/@@download/ENCFF491JNC.bed.gz	Other	No		"transcription factor,chromatin remodeller"	COG0123
HDAC2	FLAG	Uncharacterized	https://www.encodeproject.org/files/ENCFF912MTN/@@download/ENCFF912MTN.bed.gz	Other	No		"transcription factor,chromatin remodeller"	COG0123
HDAC2		Preferred	https://www.encodeproject.org/files/ENCFF068DVP/@@download/ENCFF068DVP.bed.gz	Other	No		"transcription factor,chromatin remodeller"	COG0123
HDAC6		Preferred	https://www.encodeproject.org/files/ENCFF358RPJ/@@download/ENCFF358RPJ.bed.gz	Other	No		"transcription factor,chromatin remodeller"	COG0494
HES4	FLAG	Preferred	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM7503124&format=file&file=GSM7503124%5FHES4%2DFLAG%5FPreferred%5FLocal%2EnarrowPeak%2Egz	TF	Yes		transcription factor	COG3599
HES6	FLAG	Preferred	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM7503125&format=file&file=GSM7503125%5FHES6%2DFLAG%5FPreferred%5FLocal%2EnarrowPeak%2Egz	TF	Yes		transcription factor	COG5607
HHEX	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF287QGX/@@download/ENCFF287QGX.bed.gz	TF	Yes		transcription factor	COG2963
HIC2	FLAG	Preferred	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM7503126&format=file&file=GSM7503126%5FHIC2%2DFLAG%5FPreferred%5FLocal%2EnarrowPeak%2Egz	TF	Yes		transcription factor	COG3409
HINFP	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF718SEF/@@download/ENCFF718SEF.bed.gz	TF	Yes		transcription factor	COG1403
HIVEP1	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF215ESU/@@download/ENCFF215ESU.bed.gz	TF	Yes		transcription factor	COG1961
ZNF875	FLAG	Preferred	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM7503127&format=file&file=GSM7503127%5FHKR1%2DFLAG%5FPreferred%5FLocal%2EnarrowPeak%2Egz	TF	Yes		transcription factor	
HLF	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF389WFG/@@download/ENCFF389WFG.bed.gz	TF	Yes		transcription factor	COG4372
HMG20A	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF245ELB/@@download/ENCFF245ELB.bed.gz	TF	Yes		transcription factor	COG1403
HMG20B	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF517FAL/@@download/ENCFF517FAL.bed.gz	TF	Yes		transcription factor	COG1961
HMGA1	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF490TYP/@@download/ENCFF490TYP.bed.gz	TF	Yes		transcription factor	COG3237
HMGN3	FLAG	Preferred	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM7503128&format=file&file=GSM7503128%5FHMGN3%2DFLAG%5FPreferred%5FLocal%2EnarrowPeak%2Egz	TF	Yes		transcription factor	COG3729
HMGXB3	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF463ZVL/@@download/ENCFF463ZVL.bed.gz	Other	No		transcription factor	COG0128
HMGXB4	FLAG	Non-preferred	https://www.encodeproject.org/files/ENCFF213JWA/@@download/ENCFF213JWA.bed.gz	Other	No		transcription factor	COG3064
HMGXB4	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF465GLH/@@download/ENCFF465GLH.bed.gz	Other	No		transcription factor	COG3064
HNF1A	FLAG	Non-preferred	https://www.encodeproject.org/files/ENCFF240DSS/@@download/ENCFF240DSS.bed.gz	TF	Yes		transcription factor	COG5511
HNF1A		Preferred	https://www.encodeproject.org/files/ENCFF346SLA/@@download/ENCFF346SLA.bed.gz	TF	Yes		transcription factor	COG5511
HNF1B	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF890HTY/@@download/ENCFF890HTY.bed.gz	TF	Yes		transcription factor	COG2027
HNF4A	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF711YEK/@@download/ENCFF711YEK.bed.gz	TF	Yes		transcription factor	COG1403
HNF4A		Non-preferred	https://www.encodeproject.org/files/ENCFF808SYK/@@download/ENCFF808SYK.bed.gz	TF	Yes		transcription factor	COG1403
HNF4G		Non-preferred	https://www.encodeproject.org/files/ENCFF492RBE/@@download/ENCFF492RBE.bed.gz	TF	Yes		transcription factor	COG1403
HNF4G	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF107CTN/@@download/ENCFF107CTN.bed.gz	TF	Yes		transcription factor	COG1403
HNRNPH1		Preferred	https://www.encodeproject.org/files/ENCFF055HMB/@@download/ENCFF055HMB.bed.gz	Other		"Part of the hnRNP complex which processes and splices mRNA. Has RNA motif recognition domains, but no apparent DNA binding domains."	"RNA binding protein,transcription factor"	COG3209
HNRNPK		Preferred	https://www.encodeproject.org/files/ENCFF542LXI/@@download/ENCFF542LXI.bed.gz	Other	No		"RNA binding protein,transcription factor"	COG3409
HNRNPL		Preferred	https://www.encodeproject.org/files/ENCFF163UML/@@download/ENCFF163UML.bed.gz	Other	No		"RNA binding protein,transcription factor"	COG4886
HNRNPLL		Preferred	https://www.encodeproject.org/files/ENCFF886DRH/@@download/ENCFF886DRH.bed.gz	Other		"Regulates alternative splicing. Has RNA recognition motifs, but no apparent DNA binding domains."	"RNA binding protein,transcription factor"	COG4886
HNRNPUL1		Preferred	https://www.encodeproject.org/files/ENCFF323QVV/@@download/ENCFF323QVV.bed.gz	Other		"RNA-binding member of hnRNP family. Interpro says the SAP domain is essential for specific DNA binding activity... and COULD BE a DNA-binding motif... Looks like the B30.2/SPRY domain may be involved with protein-protein interactions, of which this gene has many. PMC1422157. Some evidence that it works with BRD7 to repress transcription... IDK... I'm leaning towards Other."	"RNA binding protein,transcription factor"	COG0507
HOMEZ	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF866VHP/@@download/ENCFF866VHP.bed.gz	TF	Yes		transcription factor	COG3064
HOXA3	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF221IVJ/@@download/ENCFF221IVJ.bed.gz	TF	Yes		transcription factor	COG3064
HOXA5	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF097HFR/@@download/ENCFF097HFR.bed.gz	TF	Yes		transcription factor	COG3409
HOXD1	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF042QIU/@@download/ENCFF042QIU.bed.gz	TF	Yes		transcription factor	COG3064
HSF2	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF932DAC/@@download/ENCFF932DAC.bed.gz	TF	Yes		transcription factor	COG4636
HSF4	FLAG	Preferred	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM7503129&format=file&file=GSM7503129%5FHSF4%2DFLAG%5FPreferred%5FLocal%2EnarrowPeak%2Egz	TF	Yes		transcription factor	COG2801
IKZF1		Preferred	https://www.encodeproject.org/files/ENCFF632RQY/@@download/ENCFF632RQY.bed.gz	TF	Yes		transcription factor	COG2755
IKZF4	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF547PTN/@@download/ENCFF547PTN.bed.gz	TF	Yes		transcription factor	COG1403
IKZF5	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF973SAV/@@download/ENCFF973SAV.bed.gz	TF	Yes		transcription factor	COG0641
IRF1	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF174QAR/@@download/ENCFF174QAR.bed.gz	TF	Yes		transcription factor	COG2801
IRF2	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF856FVD/@@download/ENCFF856FVD.bed.gz	TF	Yes		transcription factor	COG0629
IRF3		Preferred	https://www.encodeproject.org/files/ENCFF284LUI/@@download/ENCFF284LUI.bed.gz	TF	Yes		transcription factor	COG2010
IRF5	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF649YZW/@@download/ENCFF649YZW.bed.gz	TF	Yes		transcription factor	COG1972
ISL2	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF608QXN/@@download/ENCFF608QXN.bed.gz	TF	Yes		transcription factor	COG0551
ISX	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF872DSQ/@@download/ENCFF872DSQ.bed.gz	TF	Yes		transcription factor	COG2761
JRK	FLAG	Preferred	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM7503130&format=file&file=GSM7503130%5FJRK%2DFLAG%5FPreferred%5FLocal%2EnarrowPeak%2Egz	TF	Yes			COG0582
JUN	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF355KJO/@@download/ENCFF355KJO.bed.gz	TF	Yes		transcription factor	COG1196
JUN		Non-preferred	https://www.encodeproject.org/files/ENCFF265UCB/@@download/ENCFF265UCB.bed.gz	TF	Yes		transcription factor	COG1196
JUND		Non-preferred	https://www.encodeproject.org/files/ENCFF577XUM/@@download/ENCFF577XUM.bed.gz	TF	Yes		transcription factor	COG1196
JUND		Preferred	https://www.encodeproject.org/files/ENCFF281KZH/@@download/ENCFF281KZH.bed.gz	TF	Yes		transcription factor	COG1196
KAT2B		Preferred	https://www.encodeproject.org/files/ENCFF461YLX/@@download/ENCFF461YLX.bed.gz	Other	No		"transcription factor,chromatin remodeller,RNA binding protein"	COG0456
KAT6A	FLAG	Preferred	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM7503131&format=file&file=GSM7503131%5FKAT6A%2DFLAG%5FPreferred%5FLocal%2EnarrowPeak%2Egz	Other	No		transcription factor	COG1361
KAT7	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF009BCS/@@download/ENCFF009BCS.bed.gz	Other	Yes*	Chromatin remodeller	transcription factor	COG4469
KAT8	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF688NGY/@@download/ENCFF688NGY.bed.gz	Other	No		transcription factor	COG1716
KDM1A		Non-preferred	https://www.encodeproject.org/files/ENCFF617QAV/@@download/ENCFF617QAV.bed.gz	Other	No		"transcription factor,chromatin remodeller,RNA binding protein"	COG1231
KDM1A	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF376CNT/@@download/ENCFF376CNT.bed.gz	Other	No		"transcription factor,chromatin remodeller,RNA binding protein"	COG1231
KDM2A	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF649VKX/@@download/ENCFF649VKX.bed.gz	TF	Yes		transcription factor	COG3209
KDM3A	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF151FQM/@@download/ENCFF151FQM.bed.gz	Other	No		transcription factor	COG1670
KDM4B	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF865PLF/@@download/ENCFF865PLF.bed.gz	Other			transcription factor	COG0732
KDM5A		Preferred	https://www.encodeproject.org/files/ENCFF620WRP/@@download/ENCFF620WRP.bed.gz	Other	No		"transcription factor,chromatin remodeller"	COG0086
KDM5B	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF511KOY/@@download/ENCFF511KOY.bed.gz	TF	Yes		"transcription factor,chromatin remodeller"	COG1198
KDM6A	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF291RTF/@@download/ENCFF291RTF.bed.gz	Other			"transcription factor,chromatin remodeller"	COG0457
USF3	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF168XTB/@@download/ENCFF168XTB.bed.gz	TF	Yes		transcription factor	
KLF11	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF137AWT/@@download/ENCFF137AWT.bed.gz	TF	Yes		transcription factor	COG1413
KLF12	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF099TJA/@@download/ENCFF099TJA.bed.gz	TF	Yes		transcription factor	COG1403
KLF13	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF171DFD/@@download/ENCFF171DFD.bed.gz	TF	Yes		transcription factor	COG1403
KLF15	FLAG	Preferred	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM7503132&format=file&file=GSM7503132%5FKLF15%2DFLAG%5FPreferred%5FLocal%2EnarrowPeak%2Egz	TF	Yes		transcription factor	COG1403
KLF16	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF742BYA/@@download/ENCFF742BYA.bed.gz	TF	Yes		transcription factor	COG1403
KLF6	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF407YHS/@@download/ENCFF407YHS.bed.gz	TF	Yes		transcription factor	COG2207
KLF9	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF995GJI/@@download/ENCFF995GJI.bed.gz	TF	Yes		transcription factor	COG1403
KMT2A	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF960SAF/@@download/ENCFF960SAF.bed.gz	TF	Yes		transcription factor	COG3210
KMT2B	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF036WCY/@@download/ENCFF036WCY.bed.gz	TF	Yes		"transcription factor,chromatin remodeller"	COG1205
L3MBTL4	FLAG	Preferred	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM7503133&format=file&file=GSM7503133%5FL3MBTL4%2DFLAG%5FPreferred%5FLocal%2EnarrowPeak%2Egz	TF	Yes		transcription factor	COG0457
LBX2	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF391NQU/@@download/ENCFF391NQU.bed.gz	TF	Yes		transcription factor	COG1961
LCOR	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF381EWF/@@download/ENCFF381EWF.bed.gz	TF	Yes		transcription factor	COG2963
LCORL	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF723QWP/@@download/ENCFF723QWP.bed.gz	TF	Yes		transcription factor	COG0582
LCORL		Non-preferred	https://www.encodeproject.org/files/ENCFF789IAH/@@download/ENCFF789IAH.bed.gz	TF	Yes		transcription factor	COG0582
LHX6	FLAG	Preferred	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM7503134&format=file&file=GSM7503134%5FLHX6%2DFLAG%5FPreferred%5FLocal%2EnarrowPeak%2Egz	TF	Yes		transcription factor	COG3677
LIN54	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF582HAZ/@@download/ENCFF582HAZ.bed.gz	TF	Yes		transcription factor	COG4886
LRRFIP1	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF765MRZ/@@download/ENCFF765MRZ.bed.gz	Other	No		transcription factor	COG1196
MAF1	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF201XPX/@@download/ENCFF201XPX.bed.gz	TF			transcription factor	COG3871
MAFF		Preferred	https://www.encodeproject.org/files/ENCFF643LNZ/@@download/ENCFF643LNZ.bed.gz	TF	Yes		transcription factor	COG2963
MAFG	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF311PMU/@@download/ENCFF311PMU.bed.gz	TF	Yes		transcription factor	COG1196
MAFK		Preferred	https://www.encodeproject.org/files/ENCFF259ECH/@@download/ENCFF259ECH.bed.gz	TF	Yes		transcription factor	COG2963
MAFK		Non-preferred	https://www.encodeproject.org/files/ENCFF458PBB/@@download/ENCFF458PBB.bed.gz	TF	Yes		transcription factor	COG2963
MATR3	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF559BWX/@@download/ENCFF559BWX.bed.gz	Other	No		"RNA binding protein,transcription factor"	COG0457
MAX		Uncharacterized	https://www.encodeproject.org/files/ENCFF800ZTT/@@download/ENCFF800ZTT.bed.gz	TF	Yes		transcription factor	COG3335
MAX	FLAG	Uncharacterized	https://www.encodeproject.org/files/ENCFF707KEM/@@download/ENCFF707KEM.bed.gz	TF	Yes		transcription factor	COG3335
MAX		Preferred	https://www.encodeproject.org/files/ENCFF532JII/@@download/ENCFF532JII.bed.gz	TF	Yes		transcription factor	COG3335
MAZ		Non-preferred	https://www.encodeproject.org/files/ENCFF978KZX/@@download/ENCFF978KZX.bed.gz	TF	Yes		"RNA binding protein,transcription factor"	COG1198
MAZ	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF535NYU/@@download/ENCFF535NYU.bed.gz	TF	Yes		"RNA binding protein,transcription factor"	COG1198
MBD1	FLAG	Non-preferred	https://www.encodeproject.org/files/ENCFF930VNZ/@@download/ENCFF930VNZ.bed.gz	TF	Yes		transcription factor	COG1716
MBD1	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF510QJE/@@download/ENCFF510QJE.bed.gz	TF	Yes		transcription factor	COG1716
MBD4		Preferred	https://www.encodeproject.org/files/ENCFF695SHZ/@@download/ENCFF695SHZ.bed.gz	TF	Yes		transcription factor	COG1403
MED1	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF721ULY/@@download/ENCFF721ULY.bed.gz	Other	No		transcription factor	COG1020
MED12	FLAG	Preferred	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM7503135&format=file&file=GSM7503135%5FMED12%2DFLAG%5FPreferred%5FLocal%2EnarrowPeak%2Egz	Other	No		transcription factor	COG1020
MED13	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF733RMW/@@download/ENCFF733RMW.bed.gz	Other	No		transcription factor	COG5280
MED13L	FLAG	Preferred	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM7503136&format=file&file=GSM7503136%5FMED13L%2DFLAG%5FPreferred%5FLocal%2EnarrowPeak%2Egz	Other	No			COG3210
MEF2A	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF987BRO/@@download/ENCFF987BRO.bed.gz	TF	Yes		transcription factor	COG2801
MEF2D	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF370PHM/@@download/ENCFF370PHM.bed.gz	TF	Yes		transcription factor	COG4104
MEIS1	FLAG	Preferred	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM7503137&format=file&file=GSM7503137%5FMEIS1%2DFLAG%5FPreferred%5FLocal%2EnarrowPeak%2Egz	TF	Yes		transcription factor	COG1595
MEIS2	FLAG	Preferred	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM7503138&format=file&file=GSM7503138%5FMEIS2%2DFLAG%5FPreferred%5FLocal%2EnarrowPeak%2Egz	TF	Yes		transcription factor	COG1960
MGA	FLAG	Preferred	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM7503139&format=file&file=GSM7503139%5FMGA%2DFLAG%5FPreferred%5FLocal%2EnarrowPeak%2Egz	TF	Yes		transcription factor	COG3209
MIER2	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF822MEL/@@download/ENCFF822MEL.bed.gz	Other	No		transcription factor	COG2124
MIER3	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF284RUU/@@download/ENCFF284RUU.bed.gz	Other	No		transcription factor	COG3378
MIXL1	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF808DFD/@@download/ENCFF808DFD.bed.gz	TF	Yes		transcription factor	COG1403
MLLT10	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF183UEL/@@download/ENCFF183UEL.bed.gz	Other	No		transcription factor	COG3677
MLX	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF048HPB/@@download/ENCFF048HPB.bed.gz	TF	Yes		transcription factor	COG1317
MLXIP	FLAG	Preferred	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM7503140&format=file&file=GSM7503140%5FMLXIP%2DFLAG%5FPreferred%5FLocal%2EnarrowPeak%2Egz	TF	Yes		transcription factor	COG1196
MNT		Non-preferred	https://www.encodeproject.org/files/ENCFF649NPR/@@download/ENCFF649NPR.bed.gz	TF	Yes		transcription factor	COG1403
MNT		Preferred	https://www.encodeproject.org/files/ENCFF624ACI/@@download/ENCFF624ACI.bed.gz	TF	Yes		transcription factor	COG1403
MNX1	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF288SNR/@@download/ENCFF288SNR.bed.gz	TF	Yes		transcription factor	COG2814
MTA1	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF656AKR/@@download/ENCFF656AKR.bed.gz	Other	No		transcription factor	COG1388
MTA3	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF827SNM/@@download/ENCFF827SNM.bed.gz	Other	No		transcription factor	COG3878
MTF1	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF562QVL/@@download/ENCFF562QVL.bed.gz	TF	Yes		transcription factor	COG3170
MTF2	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF482HXQ/@@download/ENCFF482HXQ.bed.gz	Other	Yes*	Chromatin remodeller	transcription factor	COG1716
MXD1	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF828KFT/@@download/ENCFF828KFT.bed.gz	TF	Yes		transcription factor	COG0789
MXD3	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF098WCH/@@download/ENCFF098WCH.bed.gz	TF	Yes		transcription factor	COG1196
MXD4	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF063ZGE/@@download/ENCFF063ZGE.bed.gz	TF	Yes		transcription factor	COG1196
MXI1		Preferred	https://www.encodeproject.org/files/ENCFF298UBV/@@download/ENCFF298UBV.bed.gz	TF	Yes		transcription factor	COG4372
MYBL2		Non-preferred	https://www.encodeproject.org/files/ENCFF408FLG/@@download/ENCFF408FLG.bed.gz	TF	Yes		transcription factor	COG1595
MYBL2	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF182JRE/@@download/ENCFF182JRE.bed.gz	TF	Yes		transcription factor	COG1595
MYC		Preferred	https://www.encodeproject.org/files/ENCFF800JFG/@@download/ENCFF800JFG.bed.gz	TF	Yes		transcription factor	COG0515
MYNN	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF447QQH/@@download/ENCFF447QQH.bed.gz	TF	Yes		transcription factor	COG3058
MYRF	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF648BIX/@@download/ENCFF648BIX.bed.gz	TF	Yes		transcription factor	COG2372
MZF1	FLAG	Preferred	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM7503141&format=file&file=GSM7503141%5FMZF1%2DFLAG%5FPreferred%5FLocal%2EnarrowPeak%2Egz	TF	Yes		transcription factor	COG0515
NAIF1	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF264GUG/@@download/ENCFF264GUG.bed.gz	TF	Yes		transcription factor	COG1196
NBN		Preferred	https://www.encodeproject.org/files/ENCFF052NNP/@@download/ENCFF052NNP.bed.gz	Other		"Appears to be a cofactor in DNA repair, along with ATM. Other."	transcription factor	COG1716
NCOA1	FLAG	Preferred	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM7503142&format=file&file=GSM7503142%5FNCOA1%2DFLAG%5FPreferred%5FLocal%2EnarrowPeak%2Egz	TF	Yes		transcription factor	COG4223
NCOA2	FLAG	Preferred	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM7503143&format=file&file=GSM7503143%5FNCOA2%2DFLAG%5FPreferred%5FLocal%2EnarrowPeak%2Egz	TF	Yes		transcription factor	COG4886
NCOA5	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF390SPG/@@download/ENCFF390SPG.bed.gz	Other	No		transcription factor	COG3064
NCOR1		Preferred	https://www.encodeproject.org/files/ENCFF337NOK/@@download/ENCFF337NOK.bed.gz	Other	No		"transcription factor,chromatin remodeller"	COG1196
NFAT5	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF758KHO/@@download/ENCFF758KHO.bed.gz	TF	Yes		transcription factor	COG0484
NFATC3	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF956GJO/@@download/ENCFF956GJO.bed.gz	TF	Yes		transcription factor	COG4886
NFE2	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF626AMA/@@download/ENCFF626AMA.bed.gz	TF	Yes		transcription factor	COG2433
NFE2L1	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF392LXN/@@download/ENCFF392LXN.bed.gz	TF	Yes		transcription factor	COG2814
NFE2L2		Preferred	https://www.encodeproject.org/files/ENCFF876OXC/@@download/ENCFF876OXC.bed.gz	TF	Yes		transcription factor	COG1670
NFIA	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF247AAE/@@download/ENCFF247AAE.bed.gz	TF	Yes		transcription factor	COG2124
NFIB	FLAG	Preferred	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM7503144&format=file&file=GSM7503144%5FNFIB%2DFLAG%5FPreferred%5FLocal%2EnarrowPeak%2Egz	TF	Yes		transcription factor	COG3266
NFIC		Preferred	https://www.encodeproject.org/files/ENCFF226RTJ/@@download/ENCFF226RTJ.bed.gz	TF	Yes		transcription factor	COG0438
NFIL3	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF056WXQ/@@download/ENCFF056WXQ.bed.gz	TF	Yes		transcription factor	COG1196
NFKB2	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF098AHH/@@download/ENCFF098AHH.bed.gz	TF	Yes		transcription factor	COG2814
NFKBIZ	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF868IVM/@@download/ENCFF868IVM.bed.gz	Other	No		transcription factor	COG0477
NFRKB		Preferred	https://www.encodeproject.org/files/ENCFF252JYE/@@download/ENCFF252JYE.bed.gz	Other	No		transcription factor	COG2208
NFYA	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF799WBQ/@@download/ENCFF799WBQ.bed.gz	TF	Yes		transcription factor	COG3210
NFYB	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF250THA/@@download/ENCFF250THA.bed.gz	TF	Yes		transcription factor	COG4584
NFYC	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF666PKI/@@download/ENCFF666PKI.bed.gz	TF	Yes		transcription factor	COG3170
NKX3-1	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF838IXI/@@download/ENCFF838IXI.bed.gz	TF	Yes		transcription factor	COG2963
NONO		Non-preferred	https://www.encodeproject.org/files/ENCFF422IRH/@@download/ENCFF422IRH.bed.gz	Other	No		"RNA binding protein,transcription factor"	COG2801
NONO		Preferred	https://www.encodeproject.org/files/ENCFF847WTF/@@download/ENCFF847WTF.bed.gz	Other	No		"RNA binding protein,transcription factor"	COG2801
NPAS2	FLAG	Preferred	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM7503145&format=file&file=GSM7503145%5FNPAS2%2DFLAG%5FPreferred%5FLocal%2EnarrowPeak%2Egz	TF	Yes		transcription factor	COG0631
NR0B2	FLAG	Preferred	https://www.encodeproject.org/files/ENCFF801BTX/@@download/ENCFF801BTX.bed.gz	Other	No		transcription factor	COG1357
NR1H2	FLAG	Preferred	https://www.ncbi.nlm.nih.gov/geo/download/?acc=GSM7503146&format=file&file=GSM7503146%5FNR1H2%2DFLAG%5FPreferred%5FLocal%2EnarrowPeak%2Egz	TF	Yes		transcription factor	COG2814
NR2C2		Non-preferred	https://www.encodeproject.org/files/ENCFF687EVI/@@download/ENCFF687EVI.bed.gz	TF	Yes		transcription factor	COG1028
